Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
Boston,0.574,0.533,161.9,21.9,76.9,50.3,66.7,13.8,6.7,11.9,1.3,68.4,110.7,107,3.8,"2,287.90",95.3
Golden State,0.59,0.561,162.1,23.6,77.5,51.3,65.3,13.3,8,10.4,1.3,74.7,115.2,110,5.2,"2,137.00",97.1
Dallas,0.584,0.546,160,15.7,74.7,44.8,52.8,10.1,7.8,5.3,1.3,61.9,114.9,114.1,0.8,"1,666.30",92.6
Miami,0.55,0.509,156.3,23.3,79.4,50.4,57.6,12,8.9,8.4,1.2,63,110.6,106.6,4.1,"1,695.90",94.2
Phoenix,0.591,0.557,167.7,24.2,73.8,49.7,62.4,12.7,7.1,7.6,1.3,68.7,115.6,116.7,-1.1,"1,209.90",93.1
Memphis,0.545,0.507,153.6,25.8,77.7,50.3,63.3,11.9,9,12.4,1.2,72.8,110.2,107.8,2.4,"1,225.10",102.1
Philadelphia,0.592,0.545,168.7,20.3,75.8,49.3,59.7,14.3,6.5,8.3,1.3,62.5,112.3,112,0.4,"1,116.30",92.2
Milwaukee,0.529,0.498,149.6,21.6,83.8,53.8,54.1,12.4,6.4,9.5,1.2,64.6,104.4,102.8,1.5,"1,181.40",98.5
New Orleans,0.566,0.518,159.7,35,80.3,56.1,54.7,13,6.8,6.3,1.3,66.6,117.6,119.2,-1.6,560.4,93.4
Minnesota,0.579,0.527,164,17.1,72.5,46.3,62.8,15.8,8,13.9,1.3,63.9,106.4,111.8,-5.4,615.4,102.6
Toronto,0.542,0.503,153.9,23,76.7,47.3,53.9,9.5,7.2,10.8,1.2,59.4,111.2,120.2,-9,556.6,91.2
Utah,0.546,0.495,150.3,22.8,85.5,54.3,49,11.5,4.4,9.4,1.3,56.5,108.8,115,-6.2,545.9,91
Denver,0.586,0.543,162.6,28,81.4,53.9,63.5,14.9,7.2,7.5,1.3,65.9,113.6,121.8,-8.3,484.3,96.9
Atlanta,0.554,0.513,154.7,21.3,79,49.6,54.1,15.7,6,5.1,1.2,51.5,102.3,114.9,-12.6,476,95.2
Chicago,0.493,0.461,151.9,15.8,81.4,45.9,63.2,11.9,7.7,6.5,1.1,57.4,94.9,109.4,-14.6,501.7,100.3
Brooklyn,0.61,0.577,166.3,23,69.9,46.3,56.7,14.6,8.6,13.1,1.4,64.7,116.3,121.1,-4.8,375,93.8
